Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,real_costs_of_goods_sold,real_tangible_fixed_assets
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2007,Philippines (the),PH,5510,Accommodation and food service activities,619,18636.48193,9966.908859,26215.67072,25484.45534,13629.24852,35848.61629
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2008,Philippines (the),PH,5510,Accommodation and food service activities,592,14468.21118,8234.47414,20919.78544,18459.31948,10505.98356,26690.58379
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2009,Philippines (the),PH,5510,Accommodation and food service activities,592,14783.47973,7732.914681,25124.36313,18358.8434,9603.109158,31200.65481
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2010,Philippines (the),PH,5510,Accommodation and food service activities,423,14998.49634,9117.853644,25000.00045,17845.84041,10848.80493,29746.04975
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2011,Philippines (the),PH,5510,Accommodation and food service activities,343,14475.30092,6387.907675,38630.19146,16573.82456,7313.979976,44230.51509
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2012,Philippines (the),PH,5510,Accommodation and food service activities,321,13024.44636,7263.084992,43445.20737,14621.06588,8153.440166,48770.99734
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2013,Philippines (the),PH,5510,Accommodation and food service activities,258.5,12956.52302,6124.645527,42602.35612,14251.09202,6736.597995,46859.02973
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2014,Philippines (the),PH,5510,Accommodation and food service activities,196,12720.71197,2630.006528,42984.28896,13577.20016,2807.085414,45878.43008
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2015,Philippines (the),PH,5510,Accommodation and food service activities,196,13264.78814,2926.069614,38591.78206,14260.53974,3145.721708,41488.76225
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2016,Philippines (the),PH,5510,Accommodation and food service activities,274,11829.00053,2766.466601,39782.64733,12556.21278,2936.540852,42228.36779
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2017,Philippines (the),PH,5510,Accommodation and food service activities,225,8744.586364,2598.541665,40052.09886,9071.691069,2695.744114,41550.30923
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2018,Philippines (the),PH,5510,Accommodation and food service activities,29,1189.780796,630.2063845,17617.27182,1189.780796,630.2063845,17617.27182
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2020,Philippines (the),PH,5510,Accommodation and food service activities,26,17789.15758,63.36913785,30565.11688,17379.1705,61.90866801,29860.682
37507152,ACESITE (PHILS.) HOTEL CORPORATION,2024,Philippines (the),PH,5510,Accommodation and food service activities,17,526.1833196,41.40379787,30125.79634,442.5790625,34.82522794,25339.16642
75345688,AGRINURTURE INC,2015,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,102,61341.58055,53037.67522,14139.97365,65946.32629,57019.06936,15201.42304
75345688,AGRINURTURE INC,2016,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,153,11634.85442,9627.968657,12226.56743,12350.13114,10219.86793,12978.22093
75345688,AGRINURTURE INC,2017,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,144,46183.72135,27474.75018,19450.51313,47911.29449,28502.48547,20178.08949
75345688,AGRINURTURE INC,2018,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,129,74709.33859,57340.89085,12779.55066,74709.33859,57340.89085,12779.55066
75345688,AGRINURTURE INC,2019,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,188,91105.29308,72382.13372,12611.52055,90474.61598,71881.06784,12524.2172
75345688,AGRINURTURE INC,2020,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,204,92318.00864,80173.80467,14974.47701,90190.35357,78326.03732,14629.35993
75345688,AGRINURTURE INC,2021,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,386,89700.30111,78881.45661,13672.88403,85677.40801,75343.76874,13059.68039
75345688,AGRINURTURE INC,2022,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,308,68439.04156,60284.28387,9229.383494,61968.44671,54584.68365,8356.78797
75345688,AGRINURTURE INC,2023,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,397,53607.2663,48074.5401,7865.603597,46403.71148,41614.45346,6808.651609
75345688,AGRINURTURE INC,2024,Philippines (the),PH,4781,Wholesale and retail trade; repair of motor vehicles and motorcycles,236,25582.01394,24803.35708,5745.699145,21517.33687,20862.39931,4832.776043
339947379,"ALLDAY MARTS, INCORPORATION",2021,Philippines (the),PH,4711,Wholesale and retail trade; repair of motor vehicles and motorcycles,250,187825.8988,149692.7394,81788.1018,179402.2536,142979.296,78120.05625
339947379,"ALLDAY MARTS, INCORPORATION",2022,Philippines (the),PH,4711,Wholesale and retail trade; repair of motor vehicles and motorcycles,259,174823.5038,138219.9042,78235.99455,158294.75,125151.8515,70839.14311
339947379,"ALLDAY MARTS, INCORPORATION",2023,Philippines (the),PH,4711,Wholesale and retail trade; repair of motor vehicles and motorcycles,275,185711.1754,146472.8329,78612.34097,160755.9646,126790.3318,68048.69267
339947379,"ALLDAY MARTS, INCORPORATION",2024,Philippines (the),PH,4711,Wholesale and retail trade; repair of motor vehicles and motorcycles,241,160397.9854,126305.9742,72234.01036,134912.6576,106237.4605,60756.88718
339872857,ALLHOME CORPORATION,2020,Philippines (the),PH,4647,Wholesale and retail trade; repair of motor vehicles and motorcycles,516,266714.7682,176660.3326,249558.6566,260567.7873,172588.8382,243807.0731
339872857,ALLHOME CORPORATION,2021,Philippines (the),PH,4647,Wholesale and retail trade; repair of motor vehicles and motorcycles,639,289139.4668,183284.9132,267961.9739,276172.0949,175064.9228,255944.3735
339872857,ALLHOME CORPORATION,2022,Philippines (the),PH,4647,Wholesale and retail trade; repair of motor vehicles and motorcycles,514,228429.7228,141493.7282,249802.3173,206832.749,128116.1506,226184.6635
339872857,ALLHOME CORPORATION,2023,Philippines (the),PH,4647,Wholesale and retail trade; repair of motor vehicles and motorcycles,562,221129.0849,134728.8483,236052.6905,191414.5407,116624.4623,204332.7649
